texto;class
'Fui infeliz', diz Crivella sobre culpar a população pelas enchentes no Rio https://t.co/h0f6LpRStE;teste
Brasil inclui Estados Unidos em análise de casos de suspeita do novo coronavírus https://t.co/rNjCm7h2Rr;teste
"A inteligência artificial traz vários riscos, que incluem vigilância em massa e automatização de preconceito. 

Se não sabemos lidar com ela, não seria melhor banir seu uso? Entenda em especial sobre IA (por 
@hernandesraph)

https://t.co/S4JTqVU284";teste
Governo entrega projeto para divisão com o Congresso de R$ 30 bilhões do Orçamento https://t.co/9UFaHe33VG;teste
Incorporação de novos remédios para doenças raras deve levar eficiência em conta https://t.co/GeJOelHUZ7;teste
'Parem de comprar máscaras contra coronavírus', diz órgão de saúde nos EUA https://t.co/JkDSbEJ6em;teste
O voo do dólar 💸 continua cada vez mais alto: moeda americana sobe para R$ 4,52 https://t.co/VG2bsPllH7 https://t.co/B7ZFG9HnG6;teste
Apesar de ataques de Bolsonaro, cartilha do governo defende que jornalistas não sejam expostos https://t.co/boUYboRgo2;teste
Paris vive dias de vírus, alienação burguesa e rebeldia mimada na semana da moda https://t.co/HlNxmYScLZ;teste
Ex-secretária dispensada por Regina Duarte diz não ter ressentimentos por demissão https://t.co/N3DFwjyjpi;teste
'Nos Tempos do Imperador' recria monarquia brasileira com história atual e paisagens do Rio e da Bahia https://t.co/xesDR0IRaA;teste
RT @sylviacolombo: Confirmado primeiro caso do novo coronavírus na Argentina https://t.co/kjmh3DRuKQ;teste
RT @paulobpassos: O @daigooliva teve a irresponsabilidade de publicar um texto meu. 👉🏼 Como o socialismo prometido por Bernie Sanders encan…;teste
Comissão derrota governo e aprova MP amplia 13º do Bolsa Família https://t.co/O8U9kB7dU8;teste
Companhias como Nestlé, Bayer, Amazon, Votorantim e Salesforce sugerem a funcionários que substituam reuniões internacionais por videoconferências como forma de prevenção ao coronavírus https://t.co/jpye7GOWsu;teste
Taiti, na Oceania, será sede do surfe da Olimpíada de Paris-2024 https://t.co/d9tqW867iI;teste
"RT @thais_bilenky: Como Eduardo Bolsonaro acabou virando quase tudo o que não era

https://t.co/2NiOKpRgde";teste
RT @paulasoprana: Receita identifica rede de laranjas em leiloeiras de São Paulo https://t.co/mY9ctlzXyx;teste
"Alvaro Costa e Silva | Contratado para ser o craque do time, o atacante japonês Honda tem dinheiro para comprar o Botafogo (@alvaromarechal)

https://t.co/7il0qkHBg4";teste
PM proíbe atleticanos de usarem letra B para provocar cruzeirenses https://t.co/y5vVVd7fMX;teste
Neymar troca boa fase em campo por novas polêmicas fora dele https://t.co/yYgr5b0jqh;teste
"Ivan Marsiglia | Resistência a golpe bolsochavista une bolhas opostas no Twitter e some no ar (@ivan_marsiglia)

https://t.co/0sX2IMrShZ";teste
Nova onda de protestos contra governo de Piñera deixa 283 presos no Chile https://t.co/hFaOnS1dnQ;teste
Brasil tem tecnologia para diagnosticar doença rara, mas acesso a exame é desigual https://t.co/dq6cGqUB57;teste
Confirmado primeiro caso do novo coronavírus na Argentina https://t.co/9GpnbR7OM1;teste
RT @agorasp: Moradores buscam informações sobre desaparecidos em Guarujá https://t.co/oBOLoKb8ZF;teste
"Últimos socorros: para no final, saber o que fazer (via blog Morte sem tabu, de Camila Appel)

https://t.co/2sZx0TTw75";teste
"Time alemão se desculpa após discriminar japoneses por medo de coronavírus; RB Leipzig retirou um grupo de torcedores do estádio

https://t.co/Q974j60rwo";teste
Twitter e Google pedem a funcionários que trabalhem de casa por temor do coronavírus https://t.co/xhgWBJ70yO;teste
"Paul Krugman | Política paranoica viraliza; quando tudo é uma conspiração da mídia liberal

https://t.co/wWDMUSF1o8";teste
Em uma lanchonete de frango, Biden e Buttigieg anunciaram união para conter Sanders https://t.co/vWueFBUaqe;teste
"Seis casas desabam no Rio após fortes chuvas que já deixaram cinco mortos no estado

https://t.co/IpBLhn9z1B";teste
"Mariliz Pereira Jorge | Ignorância mata mais do que coronavírus 

https://t.co/6A8k8YLZD6";teste
"Ministério Público diz que ato de Weintraub em universidades é contra democracia (@mattoso_camila via @FolhaPainel)

https://t.co/64xgLXfVoD";teste
Fiquei chocado com o volume de terra, diz Doria sobre deslizamentos com 12 mortos no litoral https://t.co/SfRx7mKP5f;teste
"Metrô de SP conseguiu tornar real uma piada antiga: ‘furar o pneu do trem’ (via blog Avenidas, de @rafaelbalago)

https://t.co/sbHuhIM8pQ";teste
Coronavírus mudou cenário para a economia americana, diz Fed ao cortar juros https://t.co/2yiYRxt6hA;teste
"Bolsonaro autoriza recriação de sorteios e concursos na TV para beneficiar emissoras aliadas

https://t.co/3OWSBlMXO9";teste
"Há 31 anos, Bernie Sanders queria criar um partido socialista nos EUA para desafiar não apenas o Partido Republicano, mas também o Democrata A declaração faz parte de uma entrevista que o então prefeito de Burlington deu à Folha em 1989 #Folha100 
https://t.co/8Y0cutJtrv";teste
RT @collucciclaudia: Cláudia Collucci: Ajuste fiscal trouxe perdas de R$ 20 bi à saúde em 2019, diz economista https://t.co/jNXIfNImIw;teste
"Olavo de Carvalho provoca Regina Duarte a desistir de cargo no governo; a crítica, publicada em rede social, vem após rumores de que a atriz demitiria seguidores do escritor

https://t.co/FXlXD9qBX1";teste
"Óleo de CBD artesanal é usado pelos pacientes muito antes de os países regularem o comércio de Cannabis medicinal (via blog Cannabis Inc., de Valéria França)

https://t.co/FKzZxTYcgp";teste
"A Folha, em uma parceria com o Google, oferece assinatura grátis de um ano de sua versão digital a professores da rede pública de todo o país.

https://t.co/YYB31h6t21";teste
RT @agmural: Após 10 anos com reportagens, o nosso querido #blogMural torna-se coluna de opinião. Saiba mais em https://t.co/vLsDBMwTYq;teste
RT @alexsabino: Camisa 10 do PSG feminino fugiu do Afeganistão e será médica https://t.co/WBfsuL9sVY;teste
RT @daigooliva: em 1989, o @FR_BSB falou com @BernieSanders para a @folha. recuperamos essa entrevista, muito reveladora, de como o líder d…;teste
"Ainda não conhece nosso especial Imigrantes de SP? Então acesse a thread e veja relatos de estrangeiros que moram na capital paulista e saiba o que pensam sobre o Brasil e os brasileiros
Reportagem: @flamantov 
Fotos: Bruno Santos/Folhapress https://t.co/cHA7lGukCI";teste
"Metade das praias do mundo poderá desaparecer até 2100, diz estudo; Brasil está entre os países mais vulneráveis

https://t.co/V8f8YPLPyi";teste
"SP vai criar rede de pesquisas para prevenção do coronavírus (@monicabergamo)

https://t.co/BKzaDSeV1r";teste
RT @renatoonofre: Após impasse, governo e Congresso sinalizam acordo para divisão de R$ 30 bilhões do Orçamento https://t.co/EshB2EzkEl;teste
Luz ultravioleta mostra como germes se espalham pelas mãos e como lavagem correta é essencial https://t.co/puLXV4nfEI;teste
Após impasse, governo e Congresso sinalizam acordo para divisão de R$ 30 bilhões do Orçamento https://t.co/xQxDmfY5XE;teste
Chefe da Secom de Bolsonaro é convocado pelo Senado para explicar negócios de sua empresa https://t.co/uPImWiO0zg;teste
"Defesa de Lula a mandato de Bolsonaro irritou parte do PT (via @monicabergamo)

https://t.co/Ifz9ARXUik";teste
Guedes cancela reunião com movimentos civis e discute controle do Orçamento https://t.co/VqA2K41v9z;teste
"RT @pablo_ortellado: Na coluna de hoje discuto a relação ambivalente de Bolsonaro com o ""sistema"", mas na verdade com o país --uma espécie…";teste
RT @ivan_marsiglia: De Lula a FHC, protestos contra o golpismo uniram bolhas opostas no ⁦@Twitter⁩, mas evaporaram na vida real. E mais: pu…;teste
Morre aos 40 anos de idade o narrador esportivo Cadu Cortez https://t.co/8Q0k6B91Jc;teste
"Série de Kéfera na Netfix é cancelada após 1ª temporada (@sitef5)

https://t.co/WMQb2Gotk6";teste
"Temor brasileiro na fase de grupos da Libertadores, se existe, é infundado (via blog O Mundo é uma Bola, de Luís Curro)

https://t.co/UVUzW1pslD";teste
RT @DiogoBercito: Hoje fiz uma pontinha no podcast do @rodrigovizeu e da @mageflores! Sempre uma honra 👇👇👇 https://t.co/of3mjA3ub2;teste
"RT @gustavouribe: chefe da força nacional escalado por moro chama policiais amotinados de ""gigantes"" e ""corajosos"". durante a paralisação i…";teste
"General Villas Bôas diz que tem saudade de tocar violão e viola (via @monicabergamo)

https://t.co/ne2V2QRAXt";teste
Chineses que documentaram a crise do coronavírus em Wuhan sumiram https://t.co/yfkso93yDf;teste
RT @juliabarbon: Que história do @alexsabino! @folha https://t.co/DUNlAkSro8;teste
RT @LeandroColon: Ideia foi revelada pela Folha em fevereiro: Bolsonaro autoriza recriação de sorteios e concursos na TV para beneficiar em…;teste
RT @DiogoBercito: A Folha publica hoje minha entrevista com o advogado Alan Dershowitz, que votou na Hillary — mas defendeu o Trump no impe…;teste
RT @scolese: Bolsonaro autoriza recriação de sorteios e concursos na TV para beneficiar emissoras aliadas @gustavouribe @julio_wiziack @fol…;teste
Receita identifica rede de laranjas em leiloeiras de São Paulo https://t.co/1CiIFtFPvN;teste
"Rafael Capanema | Papa Francisco aproveita resfriado para mandar alguns recadinhos; dicas incluem de Jesus comunista a perdão nas redes sociais (@rafaelcapanema)

https://t.co/pCPNFMrmnY";teste
RT @folha_ambiente: Metade das praias do mundo poderia desaparecer até 2100, diz estudo https://t.co/5oTtHO3jd5;teste
"Em meio a protestos, reforma da Previdência é aprovada na Alesp; veja tudo o que muda
https://t.co/F6XqEh3R87";teste
RT @folhailustrada: Olavo de Carvalho provoca Regina Duarte a desistir de cargo na governo https://t.co/tIBL15O9GO;teste
"RT @agorasp: Em meio a protestos, reforma da Previdência é aprovada na Alesp; veja tudo o que muda https://t.co/ekQ4WnTPQ2";teste
"João Pereira Coutinho | Os méritos da arte não podem ser descompensados pelos delitos do artista (@J_P_Coutinho)

https://t.co/Tf5B3j66CF";teste
RT @uiramachado: Bolsonaro autoriza recriação de sorteios e concursos na TV para beneficiar emissoras aliadas https://t.co/ZQO019VClF;teste
"Mirian Goldenberg | Pessoas entre 40 e 50 anos são as menos felizes, diz estudo

https://t.co/YpAOJoZJyU";teste
Irlandesas do Grafton Architects vencem o Pritzker, maior prêmio da arquitetura https://t.co/u7uzK7iN0b;teste
"O amor está no ar no PTinder! (via blog #Hashtag)
https://t.co/fVz3zvKpc5";teste
"Cecilia Machado | Inclusão permanente; É preciso garantir que o Bolsa Família ajude a erradicar a pobreza das gerações futuras

https://t.co/vL9jpl0FnC";teste
"Votação da reforma da Previdência de SP tem confusão e quebra-quebra; tropa de choque foi chamada para Alesp, onde acontece discussão em segundo turno da PEC https://t.co/5jJojYb2v5 https://t.co/vEZ8CeZc4R";teste
"Manuela Cantuária | Ficar em cima do muro nos dias de hoje é um ato de bravura

https://t.co/0PWeQMtQ4B";teste
"Gleisi Hoffmann está namorando ex-senador Lindbergh Farias (via @monicabergamo)

https://t.co/WrW1xPPYX8";teste
Eneva propõe fusão com AES Tietê em negócio de R$ 6,6 bi https://t.co/Dp1lVF1g9d;teste
"Planalto aposta em vitória no Senado, mas teme retaliação na Câmara na briga por verbas; votação de Orçamento impositivo pode afetar relação entre Poderes e atos pró-Bolsonaro e anti-Congresso em 15 de março

https://t.co/VUTu6I6mUm";teste
Metade das praias do mundo poderia desaparecer até 2100, diz estudo https://t.co/V8f8YPLPyi;teste
"Preparar a lancheira dos filhos é se reconectar à herança familiar e à cultura; comer bem é entender sobre o que colocar no prato e como isso afeta a todos

https://t.co/QvISOT6Wgm";teste
Olavo de Carvalho provoca Regina Duarte a desistir de cargo na governo https://t.co/FXlXD9IdlB;teste
"Bolsonaro autoriza recriação de sorteios e concursos na TV para beneficiar emissoras aliadas

https://t.co/3OWSBm4yFH";teste
"Painel | Secretário de Vigilância diz que órgão peca em não dizer que é impossível conter o vírus (@mattoso_camila via @FolhaPainel)

https://t.co/aI6VOhZC1l";teste
Seis casas desabam no Rio após fortes chuvas que já deixaram cinco mortos no estado https://t.co/IpBLhn9z1B;teste
Alemães se desculpam após tirarem japoneses de estádio por coronavírus https://t.co/Q974j60rwo;teste
"Aeroporto de Guarulhos indica empresa para fazer transporte da CPTM ao terminal (via Painel S.A. de @JoanaCunhaO)

https://t.co/iMUbFgHNVi";teste
Arrependido e ameaçado: confissões de um ex-terraplanista brasileiro https://t.co/bMRH6ze8D6;teste
"Painel S.A. | Mesmo com queda em ações, nenhuma empresa divulga comunicado sobre coronavírus (via @JoanaCunhaO)

https://t.co/iRgcnJBe5l";teste
G7 promete usar todas as ferramentas econômicas para combater risco do coronavírus https://t.co/HdneZArJgi;teste
"Ivan Marsiglia | 
Resistência a golpe bolsochavista une bolhas opostas no Twitter e some no ar (@ivan_marsiglia)

https://t.co/0sX2IMahqr";teste
Série de Kéfera na Netfix, 'Ninguém Tá Olhando' é cancelada após 1ª temporada https://t.co/WMQb2Gotk6;teste
Bolsonaro autoriza recriação de sorteios e concursos na TV para beneficiar emissoras aliadas https://t.co/3OWSBlMXO9;teste
"Ministério Público diz que ato de Weintraub em universidades é contra democracia (@mattoso_camila via @FolhaPainel)

https://t.co/64xgLXxwgb";teste
Apuração confirma vitória de Netanyahu, mas maioria para governar dependerá de acordos https://t.co/dgsygDCOOL;teste
"Painel S.A. | Carnaval tem pouco impacto no comércio de SP, diz Associação Comercial (via @JoanaCunhaO)

https://t.co/6FuOSMt0YG";teste
"Pablo Ortellado | Bolsonarismo precisa do 'sistema' para se definir por negação e culpar pelos problemas (@pablo_ortellado) 

https://t.co/W1SFPLZ8Ox";teste
Bianca Rinaldi diz que ainda é reconhecida como 'Escrava Isaura', sucesso nas tardes da Record https://t.co/Eo7s4XdiH0;teste
"Joel Pinheiro da Fonseca |
Frente a um Congresso protagonista, governo deveria mostrar mais serviço (@JoelPinheiro85)

https://t.co/SM1JJwKheU";teste
RT @dodoazevedo: No século 14 a Peste Bubônica que matou metade da Europa, sem afetar a África. Como a Peste, o Coronavírus é consequência…;teste
COI se reúne para discutir coronavírus a cinco meses da Olimpíada https://t.co/bqi3dSrY2C;teste
"Sem data para voltar ao Brasil, Silvio Santos resolve impasse com a filha nos EUA; Silvia Abravanel reassumiu nesta segunda-feira o comando do Bom Dia &amp; Cia (via @Padig) 

https://t.co/zje1TLSjyE";teste
"Cafeteria no ABC paulista mistura café com blues e oferece cardápio extenso numa atmosfera especial
https://t.co/e8f4Xj1apo";teste
RT @scolese: Planalto aposta em vitória no Senado, mas teme retaliação na Câmara na briga por verbas @folha_poder https://t.co/bent4lLEEr h…;teste
RT @alvaromarechal: A coluna de hoje fala do Botafogo. Não o presidente da Câmara, que já tem gente demais falando e golpeando ele. Mas o c…;teste
"Opinião | Motins de policiais são alerta para o país; esses são momentos de extraordinária e dramática tensão e risco para sociedade, governo, militares, policiais e democracia (por Raul Jungmann)

https://t.co/t598wAzpC9";teste
"O ministério da Saúde de Portugal confirmou, na manhã desta segunda (2), o primeiro caso de infecção pelo novo coronavírus no país. Um segundo caso, que já testou positivo no primeiro exame, aguarda o resultado da contraprova (via @folhaequilibrio)

https://t.co/3SwkKZJLZi";teste
Tornado mata duas pessoas e destrói 40 prédios em Nashville, nos EUA https://t.co/GzTNPoa9EP;teste
"A Polícia Civil do Rio Grande do Sul está investigando uma igreja evangélica que anunciou um culto com imunização contra o coronavírus, realizado no último domingo (1), em Porto Alegre (via @folha_cotidiano)

 https://t.co/WIpqb3cKqJ";teste
Ação no STF demanda que pobre pague menos imposto no Brasil https://t.co/HNhhDChD2F;teste
"Defesa de Lula a mandato de Bolsonaro irritou parte do PT (via @monicabergamo)

https://t.co/Ifz9ARGjqM";teste
BBB20: Lucas faz campanha contra Guilherme e Pyong https://t.co/sohd6TPNIP;teste
"Painel | Secretário de Vigilância diz que órgão peca em não dizer que é impossível conter o vírus (@mattoso_camila via @FolhaPainel)

https://t.co/aI6VOhI0CL";teste
"Ruy Castro | Garrincha Flamengo; por baixo da camisa do Botafogo, o coração do ídolo batia pelas cores impensáveis

https://t.co/DmS1tt3B3j";teste
Preparar a lancheira dos filhos é se reconectar à herança familiar e à cultura https://t.co/QvISOToxEW;teste
"João Pereira Coutinho | Os méritos da arte não podem ser descompensados pelos delitos do artista (@J_P_Coutinho)

https://t.co/Tf5B3iOvL7";teste
Camisa 10 do PSG feminino fugiu do Afeganistão e será médica https://t.co/gPnCqWIT7W;teste
RT @scolese: Jeito de Bolsonaro tem traços autoritários, mas apelar ao público é parte do jogo, diz brasilianista @brunoboghossian @folha_p…;teste
RT @LeandroColon: Planalto aposta em vitória no Senado, mas teme retaliação na Câmara na briga por verbas https://t.co/a7EKEW7frd;teste
RT @FZanini: Na BR-163, a rodovia da soja, caminhoneiros aprovam Bolsonaro. Mas o nível de reclamação indica que a paciência tem limite. No…;teste
Um prato colorido de comida e de informação https://t.co/w2410uPdwq;teste
"Alemã de 19 anos é aclamada pelos céticos do clima como a 'anti-Greta'; em evento organizado pela direita americana, jovem disse que alarmismo climático é desprezível (via @folha_ambiente)

 https://t.co/1arH2GcGof";teste
Polícia de SP investiga milionária que registrou dois filhos no intervalo de oito meses https://t.co/VC0ktwpYiD;teste
"Chuva provoca soterramentos, inundações e mortes na Baixada Santista; Ao menos nove pessoas morreram, entre elas um bombeiro que socorria vítimas no Morro do Macaco, em Guarujá

https://t.co/FPTScqko06";teste
Em 1989, prefeito socialista Sanders disse à Folha querer criar 3º maior partido dos EUA https://t.co/cj8gZ02aMf;teste
"Cecilia Machado | Inclusão permanente; É preciso garantir que o Bolsa Família ajude a erradicar a pobreza das gerações futuras

https://t.co/vL9jpkJ4w4";teste
Em HQ infantil, Violeta tem mãe que remete ao Partido Democrata e pai de cor republicana https://t.co/WRfJLiF1G6;teste
"Folha oferece assinatura digital grátis por 1 ano a professores da rede pública de todo o país; parceria do jornal com o Google visa melhorar a qualidade da educação

https://t.co/YYB31h6t21";teste
